sweep,probe_kind,axis,value,relation_survival
ordering_hard_vs_noise,ordering_probe_hard,gauss_noise,0.0,1.0
ordering_hard_vs_noise,ordering_probe_hard,gauss_noise,0.024999999999999998,1.0
ordering_hard_vs_noise,ordering_probe_hard,gauss_noise,0.049999999999999996,1.0
ordering_hard_vs_noise,ordering_probe_hard,gauss_noise,0.075,0.9939393939393939
ordering_hard_vs_noise,ordering_probe_hard,gauss_noise,0.09999999999999999,0.9878787878787878
ordering_hard_vs_noise,ordering_probe_hard,gauss_noise,0.125,0.9878787878787878
ordering_hard_vs_noise,ordering_probe_hard,gauss_noise,0.15,0.9757575757575758
adjacency_hard_vs_sensor_noise,adjacency_probe_hard,sensor_noise,0.0,1.0
adjacency_hard_vs_sensor_noise,adjacency_probe_hard,sensor_noise,0.013333333333333334,1.0
adjacency_hard_vs_sensor_noise,adjacency_probe_hard,sensor_noise,0.02666666666666667,1.0
adjacency_hard_vs_sensor_noise,adjacency_probe_hard,sensor_noise,0.04,1.0
adjacency_hard_vs_sensor_noise,adjacency_probe_hard,sensor_noise,0.05333333333333334,0.6666666666666666
adjacency_hard_vs_sensor_noise,adjacency_probe_hard,sensor_noise,0.06666666666666667,0.6666666666666666
adjacency_hard_vs_sensor_noise,adjacency_probe_hard,sensor_noise,0.08,0.5
symmetry_hard_vs_rotate,symmetry_probe_hard,rotate_deg,0.0,0.9986788959961519
symmetry_hard_vs_rotate,symmetry_probe_hard,rotate_deg,2.0,0.5747072393778728
symmetry_hard_vs_rotate,symmetry_probe_hard,rotate_deg,4.0,0.5393678640544868
symmetry_hard_vs_rotate,symmetry_probe_hard,rotate_deg,6.0,0.5451745134343112
symmetry_hard_vs_rotate,symmetry_probe_hard,rotate_deg,8.0,0.5445662514203119
symmetry_hard_vs_rotate,symmetry_probe_hard,rotate_deg,10.0,0.5506238167160957
symmetry_hard_vs_rotate,symmetry_probe_hard,rotate_deg,12.0,0.5630133624750476
orientation_hard_vs_blur,orientation_probe_hard,blur_sigma,0.0,1.0
orientation_hard_vs_blur,orientation_probe_hard,blur_sigma,1.0,1.0
orientation_hard_vs_blur,orientation_probe_hard,blur_sigma,2.0,1.0
orientation_hard_vs_blur,orientation_probe_hard,blur_sigma,3.0,1.0
orientation_hard_vs_blur,orientation_probe_hard,blur_sigma,4.0,0.75
orientation_hard_vs_blur,orientation_probe_hard,blur_sigma,5.0,0.75
orientation_hard_vs_blur,orientation_probe_hard,blur_sigma,6.0,0.5
hierarchy_hard_vs_noise,hierarchy_probe_hard,gauss_noise,0.0,1.0
hierarchy_hard_vs_noise,hierarchy_probe_hard,gauss_noise,0.03333333333333333,1.0
hierarchy_hard_vs_noise,hierarchy_probe_hard,gauss_noise,0.06666666666666667,0.9895833333333334
hierarchy_hard_vs_noise,hierarchy_probe_hard,gauss_noise,0.10000000000000002,0.9375
hierarchy_hard_vs_noise,hierarchy_probe_hard,gauss_noise,0.13333333333333333,0.875
hierarchy_hard_vs_noise,hierarchy_probe_hard,gauss_noise,0.16666666666666666,0.8125
hierarchy_hard_vs_noise,hierarchy_probe_hard,gauss_noise,0.20000000000000004,0.8020833333333334
ordering_hard_vs_blur_info_only,ordering_probe_hard,blur_sigma,0.0,1.0
ordering_hard_vs_blur_info_only,ordering_probe_hard,blur_sigma,1.0,1.0
ordering_hard_vs_blur_info_only,ordering_probe_hard,blur_sigma,2.0,1.0
ordering_hard_vs_blur_info_only,ordering_probe_hard,blur_sigma,3.0,1.0
ordering_hard_vs_blur_info_only,ordering_probe_hard,blur_sigma,4.0,1.0
ordering_hard_vs_blur_info_only,ordering_probe_hard,blur_sigma,5.0,0.9818181818181818
ordering_hard_vs_blur_info_only,ordering_probe_hard,blur_sigma,6.0,0.9818181818181818
